date,gap
2/28/1965,0.022463262
3/31/1965,0.028724794
4/30/1965,0.030650483
5/31/1965,0.0311396
6/30/1965,0.032323738
7/31/1965,0.041182225
8/31/1965,0.043689783
9/30/1965,0.029502166
10/31/1965,0.032045905
11/30/1965,0.042150039
12/31/1965,0.058173478
1/31/1966,0.065869483
2/28/1966,0.07213312
3/31/1966,0.079622605
4/30/1966,0.079859947
5/31/1966,0.085920157
6/30/1966,0.089337039
7/31/1966,0.097169646
8/31/1966,0.099219009
9/30/1966,0.095572525
10/31/1966,0.095085777
11/30/1966,0.090183006
12/31/1966,0.08969981
1/31/1967,0.08164182
2/28/1967,0.065892963
3/31/1967,0.066095875
4/30/1967,0.059897255
5/31/1967,0.054334215
6/30/1967,0.049411668
7/31/1967,0.053485447
8/31/1967,0.061316964
9/30/1967,0.047515462
10/31/1967,0.043894328
11/30/1967,0.058682731
12/31/1967,0.071926685
1/31/1968,0.066474952
2/29/1968,0.064124262
3/31/1968,0.066103432
4/30/1968,0.066832317
5/31/1968,0.069996659
6/30/1968,0.071303101
7/31/1968,0.073804639
8/31/1968,0.06295365
9/30/1968,0.056335565
10/31/1968,0.06312959
11/30/1968,0.074622579
12/31/1968,0.080598122
1/31/1969,0.08061153
2/28/1969,0.078261696
3/31/1969,0.08120666
4/30/1969,0.084119796
5/31/1969,0.088739124
6/30/1969,0.092155
7/31/1969,0.096675639
8/31/1969,0.088600869
9/30/1969,0.082806156
10/31/1969,0.07700574
11/30/1969,0.061312896
12/31/1969,0.057229049
1/31/1970,0.048448804
2/28/1970,0.042592446
3/31/1970,0.044397341
4/30/1970,0.042667772
5/31/1970,0.031516478
6/30/1970,0.026247986
7/31/1970,0.026904138
8/31/1970,0.022827727
9/30/1970,0.002025695
10/31/1970,-0.023404152
11/30/1970,-0.031850832
12/31/1970,-0.019363491
1/31/1971,-0.014949443
2/28/1971,-0.019646421
3/31/1971,-0.02009785
4/30/1971,-0.018140022
5/31/1971,-0.013209731
6/30/1971,-0.01249773
7/31/1971,-0.024110812
8/31/1971,-0.03550044
9/30/1971,-0.036459537
10/31/1971,-0.029865338
11/30/1971,-0.026156883
12/31/1971,-0.021560581
1/31/1972,-0.023483317
2/29/1972,-0.016187685
3/31/1972,-0.013542998
4/30/1972,-0.004593711
5/31/1972,-0.001141217
6/30/1972,0.005830066
7/31/1972,0.010949634
8/31/1972,0.014260755
9/30/1972,0.01927456
10/31/1972,0.029384552
11/30/1972,0.041866745
12/31/1972,0.045773459
1/31/1973,0.047136732
2/28/1973,0.052632821
3/31/1973,0.057241597
4/30/1973,0.065055586
5/31/1973,0.065493548
6/30/1973,0.066731004
7/31/1973,0.083112595
8/31/1973,0.079519438
9/30/1973,0.086184726
10/31/1973,0.086523592
11/30/1973,0.07902434
12/31/1973,0.071505411
1/31/1974,0.061582801
2/28/1974,0.051611497
3/31/1974,0.041590758
4/30/1974,0.045246323
5/31/1974,0.048066171
6/30/1974,0.046087947
7/31/1974,0.044907521
8/31/1974,0.038151654
9/30/1974,0.037777315
